essay_id,y_pred,y_pred_rescaled
1,0.6607435345649719,9.0
2,0.67106032371521,9.0
3,0.5690302848815918,8.0
4,0.7702810168266296,10.0
5,0.6725897789001465,9.0
6,0.47203385829925537,7.0
7,0.7297335267066956,9.0
8,0.7388669848442078,9.0
9,0.702888548374176,9.0
10,0.6464281678199768,8.0
11,0.684935450553894,9.0
12,0.5844296216964722,8.0
13,0.3100060820579529,5.0
14,0.49465635418891907,7.0
15,0.4573131203651428,7.0
16,0.8000374436378479,10.0
17,0.5447113513946533,7.0
18,0.5626115798950195,8.0
19,0.22768209874629974,4.0
20,0.3965081572532654,6.0
21,0.6701493859291077,9.0
22,0.22521813213825226,4.0
23,0.6948955059051514,9.0
24,0.7441579103469849,9.0
25,0.5175535082817078,7.0
26,0.6445508003234863,8.0
27,0.3648371994495392,6.0
28,0.6212180256843567,8.0
29,0.5933653116226196,8.0
30,0.49342092871665955,7.0
31,0.7071899175643921,9.0
32,0.6686780452728271,9.0
33,0.3924391567707062,6.0
34,0.61965012550354,8.0
35,0.6803176999092102,9.0
36,0.6966368556022644,9.0
37,0.6534784436225891,9.0
38,0.638701856136322,8.0
39,0.6699158549308777,9.0
40,0.4288203716278076,6.0
41,0.20468729734420776,4.0
42,0.4655587673187256,7.0
43,0.3805347979068756,6.0
44,0.6031867265701294,8.0
45,0.5441307425498962,7.0
46,0.501940131187439,7.0
47,0.6070634126663208,8.0
48,0.6589958667755127,9.0
49,0.5938176512718201,8.0
50,0.22782966494560242,4.0
51,0.6326659917831421,8.0
52,0.5152453780174255,7.0
53,0.6624372601509094,9.0
54,0.6610518097877502,9.0
55,0.509809672832489,7.0
56,0.8134245276451111,10.0
57,0.6549108624458313,9.0
58,0.4582984149456024,7.0
59,0.6313952207565308,8.0
60,0.3082909882068634,5.0
61,0.5334956645965576,7.0
62,0.47205090522766113,7.0
63,0.4863441586494446,7.0
64,0.32665175199508667,5.0
65,0.6574730277061462,9.0
66,0.6514183282852173,9.0
67,0.5945690274238586,8.0
68,0.7028366923332214,9.0
69,0.4697037935256958,7.0
70,0.6817227602005005,9.0
71,0.6570318937301636,9.0
72,0.8161483407020569,10.0
73,0.608999490737915,8.0
74,0.5990726351737976,8.0
75,0.6682789921760559,9.0
76,0.5748963952064514,8.0
77,0.7181790471076965,9.0
78,0.6642336249351501,9.0
79,0.5726028680801392,8.0
80,0.6560752391815186,9.0
81,0.5145561695098877,7.0
82,0.5793008208274841,8.0
83,0.4028133153915405,6.0
84,0.3637501001358032,6.0
85,0.716375470161438,9.0
86,0.7355530858039856,9.0
87,0.6698018908500671,9.0
88,0.5747882723808289,8.0
89,0.4741189777851105,7.0
90,0.45422640442848206,7.0
91,0.4810720980167389,7.0
92,0.8149846196174622,10.0
93,0.8544239401817322,11.0
94,0.5443037748336792,7.0
95,0.710757315158844,9.0
96,0.5466253161430359,7.0
97,0.5946988463401794,8.0
98,0.7255628705024719,9.0
99,0.5955731272697449,8.0
100,0.4614682197570801,7.0
101,0.7316988110542297,9.0
102,0.5771277546882629,8.0
103,0.6199582815170288,8.0
104,0.6222724914550781,8.0
105,0.6284188628196716,8.0
106,0.7346572279930115,9.0
107,0.8101963996887207,10.0
108,0.5731781125068665,8.0
109,0.5563989877700806,8.0
110,0.5036622881889343,7.0
111,0.755593478679657,10.0
112,0.7287180423736572,9.0
113,0.577957034111023,8.0
114,0.6993545889854431,9.0
115,0.6095679402351379,8.0
116,0.29514080286026,5.0
117,0.522093653678894,7.0
118,0.7124967575073242,9.0
119,0.7216327786445618,9.0
120,0.5424181222915649,7.0
121,0.5181291699409485,7.0
122,0.7707220315933228,10.0
123,0.6692339777946472,9.0
124,0.4162876009941101,6.0
125,0.17309127748012543,4.0
126,0.4870838224887848,7.0
127,0.6283522248268127,8.0
128,0.6887964606285095,9.0
129,0.6253964304924011,8.0
130,0.8098863363265991,10.0
131,0.6491888761520386,8.0
132,0.733191967010498,9.0
133,0.7212797999382019,9.0
134,0.6433616280555725,8.0
135,0.5368006825447083,7.0
136,0.6895714402198792,9.0
137,0.3805432617664337,6.0
138,0.6863935589790344,9.0
139,0.40302276611328125,6.0
140,0.6217264533042908,8.0
141,0.7125588655471802,9.0
142,0.6859686970710754,9.0
143,0.531987726688385,7.0
144,0.6742475628852844,9.0
145,0.6994955539703369,9.0
146,0.3604913055896759,6.0
147,0.8224331140518188,10.0
